"Survey","Zipcode","Race","Hal.Harmful","Hal.Addictive","MDMA.Harmful","MDMA.Addictive","GHB.Harmful","GHB.Addictive","ID.Q1","ID.Q2","ID.Q3"
"Pre","90305","Not Hispanic or Latino","5","5","5","5","1","1","Jud","blue","11"
"Pre","90034","Not Hispanic or Latino","4","3","5","4","5","3","Rut","orange","11"
"Pre","90034","Hispanic or Latino","4","3","5","5","3","3","Yol","Blue","12"
"Pre","90025","Not Hispanic or Latino","4","3","5","5","5","5","Cin ","Red","7"
"Pre","90019","Hispanic or Latino","5","5","5","5","5","5","Kar ","Black","3"
"Pre","90006","Not Hispanic or Latino","5","5","5","5","5","5","Mee","Pastels","7,12"
"Pre","90034","Hispanic or Latino","3","4","4","4","4","4","Vir","Burgundy ","7"
"Pre","90043","Not Hispanic or Latino","5","5","5","5","5","3","Cry","orange","20"
"Pre","90016","Hispanic or Latino","5","3","5","4","3","3","Via","baby pink","21"
"Pre","90044","Hispanic or Latino","5","5","5","5","5","5","Gui ","Blue","5"
"Pre","90302","Not Hispanic or Latino","1","2","4","4","1","3","Why u wanna know ","Noneya ","Idk"
"Pre","90034","Hispanic or Latino","2","5","5","5","3","1","Kar","Purple","50"
"Pre","90016","Hispanic or Latino","4","3","4","3","3","3","Lor","Burgundy ","9"
"Pre","90018","Hispanic or Latino","5","4","5","5","3","3","Car","Blue","20"
"Pre","90034","Hispanic or Latino","3","2","3","4","3","2","N/A","Black ","1"
"Pre","90034","Hispanic or Latino","5","4","4","4","5","4","Idk","Green ","2"
"Pre","90034","Hispanic or Latino","2","3","3","4","4","4","Nel ","Purple","7"
"Pre","90034","Not Hispanic or Latino","4","4","4","4","4","4","IDN","purple","8"
"Pre","90066","Not Hispanic or Latino","3","4","4","3","4","5","pad","red","3"
"Pre","90043","Hispanic or Latino","4","5","5","5","3","3","cam","red","7"
"Pre","90094","Not Hispanic or Latino","5","5","5","5","3","4","Ama","Blue","2"
"Pre","90026","Not Hispanic or Latino","3","3","3","3","3","3","Jud","Black","7"
"Pre","90004","Hispanic or Latino","3","4","4","3","5","5","Nor","Grey","25"
"Pre","90019","Hispanic or Latino","3","3","4","4","3","3","Yam","Purple ","7"
"Pre","90660","Not Hispanic or Latino","4","5","4","4","4","3","Eun","Pastel Blue","2"
"Pre","90019","Not Hispanic or Latino","4","4","4","4","3","3","Han","Blue","7"
